PointNo,Easting,Northing,Elevation,Code
1,500.000,1000.000,25.340,EP
2,510.000,1000.200,25.410,EP
3,520.000,1000.350,25.480,EP
4,530.000,1000.100,25.390,EP
5,500.500,1002.000,25.300,CL
6,510.500,1002.100,25.370,CL
7,520.500,1002.250,25.440,CL
8,530.500,1002.050,25.360,CL
9,505.000,1000.900,25.520,TC
10,515.000,1001.050,25.590,TC
11,525.000,1000.800,25.510,TC
12,505.000,1001.100,25.330,BC
13,515.000,1001.250,25.400,BC
14,525.000,1001.000,25.320,BC
15,498.000,1005.000,24.100,
16,535.000,998.000,24.850,
